Product Name,Product URL,Linhagem,Sobre a Genética,THC,THC/CBD,CBD,Tipo (%Sativa e %Indica),Floração,Sabor,Efeito
American Pie - Automática,https://www.dentistaseeds.com/produtos/american-pie-automatica/,Cherry Pie x Blueberry,"American Pie é uma variedade híbrida que combina Cherry Pie com Blueberry. Esta combinação resulta em uma planta com um perfil de sabor doce e frutado, e efeitos relaxantes e eufóricos.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e frutado, com notas predominantes de cereja, blueberry e um toque de especiarias.","Oferece um efeito relaxante e eufórico, proporcionando uma sensação de alegria e alívio do estresse. American Pie é ideal para uso noturno, sendo perfeita para consumidores que buscam uma experiência suave e satisfatória."
Amnesia - Automática,https://www.dentistaseeds.com/produtos/amnesia-automatica/,Original Haze x Northern Lights,"Amnesia é uma variedade híbrida conhecida por seus efeitos energizantes e seu perfil de sabor complexo e cítrico. É uma combinação de Original Haze e Northern Lights, resultando em uma planta que é popular tanto por seu efeito quanto por seu sabor.",Geralmente varia entre 20% e 25%,,,"Predominantemente Sativa, cerca de 70% Sativa e 30% Indica","Em média, leva cerca de 10 a 12 semanas para florescer completamente","Tem um sabor complexo e cítrico, com notas predominantes de limão, especiarias e um toque de terra","Oferece um efeito energizante e eufórico, proporcionando uma sensação de criatividade, foco e alívio do estresse. Amnesia é ideal para uso diurno, sendo perfeita para consumidores que buscam uma experiência ativa e estimulante."
Banana Blaze - Automática,https://www.dentistaseeds.com/produtos/banana-blaze-automatica/,Banana OG x Blaze,"Banana Blaze é uma variedade híbrida que combina Banana OG com Blaze. Esta combinação resulta em uma planta com um perfil de sabor doce e tropical, e efeitos eufóricos e relaxantes.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 50% Indica e 50% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e tropical, com notas predominantes de banana madura, frutas tropicais e um toque de especiarias.","Oferece um efeito eufórico e relaxante, proporcionando uma sensação de alegria e alívio do estresse. Banana Blaze é ideal para uso diurno e noturno, sendo perfeita para consumidores que buscam uma experiência equilibrada e agradável."
Banana Punch - Automática,https://www.dentistaseeds.com/produtos/banana-punch-automatica/,Banana OG x Purple Punch,"Banana Punch é uma variedade híbrida que combina Banana OG com Purple Punch. Esta combinação resulta em uma planta com um perfil de sabor doce e tropical, e efeitos relaxantes e eufóricos.",Geralmente varia entre 20% e 25%,,,"Híbrida, com cerca de 70% Indica e 30% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e tropical, com notas predominantes de banana madura, frutas roxas e um toque de especiarias.","Oferece um efeito relaxante e eufórico, proporcionando uma sensação de calma, alegria e alívio do estresse. Banana Punch é ideal para uso noturno, sendo perfeita para consumidores que buscam uma experiência reconfortante e prazerosa."
Blue Cheese - Automática,https://www.dentistaseeds.com/produtos/blue-cheese-automatica/,Blueberry x UK Cheese,"Blue Cheese combina as características frutadas e terrosas da Blueberry com o sabor forte e picante da Cheese, resultando em uma planta com um perfil de sabor distintivo e efeitos marcantes.",Geralmente varia entre 16% e 20%,,,"Híbrida, com cerca de 20% Sativa e 80% Indica","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor forte e picante, com notas predominantes de queijo envelhecido e um toque de frutas doces.","Oferece um efeito relaxante e eufórico, proporcionando uma sensação de calma e bem-estar. Blue Cheese é frequentemente usada para aliviar estresse, ansiedade e dor, sendo adequada para uso noturno. É ideal para consumidores que buscam uma experiência relaxante com um perfil de sabor pungente e doce."
Bruce Banner - Automática,https://www.dentistaseeds.com/produtos/bruce-banner-automatica/,OG Kush x Strawberry Diesel,"Bruce Banner é uma variedade híbrida famosa por sua potência e perfil de sabor intenso. Desenvolvida a partir do cruzamento entre OG Kush e Strawberry Diesel, esta cepa é conhecida por seus efeitos equilibrados e alta concentração de THC.",Geralmente varia entre 24% e 29%,,,"Híbrida equilibrada, com cerca de 60% Sativa e 40% Indica","Em média, leva cerca de 8 a 10 semanas para florescer completamente","Bruce Banner tem um sabor doce e terroso, com notas de frutas vermelhas, diesel e um leve toque de especiarias.","Esta cepa oferece um efeito poderoso e equilibrado, proporcionando uma euforia cerebral intensa e criativa, seguida por um relaxamento corporal suave. Bruce Banner é frequentemente usada para aliviar o estresse, a ansiedade e a dor, sendo uma escolha popular para uso tanto diurno quanto noturno. É ideal para consumidores que buscam uma experiência potente e bem equilibrada, com um perfil de sabor robusto e agradável."
Bubba Kush - Fotoperíodo,https://www.dentistaseeds.com/produtos/bubba-kush-fotoperiodo/,Afghani x OG Kush,"Bubba Kush é uma variedade indica dominante famosa por seus efeitos relaxantes e seu perfil de sabor distinto. Desenvolvida a partir do cruzamento entre Afghani e OG Kush, esta variedade é conhecida por sua potência e efeito sedativo.",Geralmente varia entre 15% e 22%,,,"Predominantemente Indica, com cerca de 80% Indica e 20% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Bubba Kush tem um sabor terroso e doce, com notas de café, chocolate e um leve toque de especiarias.","Esta variedade proporciona um efeito profundamente relaxante e sedativo, ideal para aliviar o estresse, a ansiedade, a dor e a insônia. Bubba Kush é conhecida por induzir uma sensação de calma e bem-estar corporal, tornando-se uma escolha popular para uso noturno. É ideal para consumidores que buscam uma experiência potente e tranquilizante, com um perfil de sabor rico e complexo."
Chocolate Mint OG 2.0 - Fotoperíodo,https://www.dentistaseeds.com/produtos/chocolate-mint-og-2-0-fotoperiodo/,Emerald OG x Granddaddy Purple,"Chocolate Mint OG é uma variedade indica dominante conhecida por seu perfil de sabor rico e efeito relaxante. Resultante do cruzamento entre Emerald OG e Granddaddy Purple, esta variedade combina potência com um sabor único.",Geralmente varia entre 22% e 26%,,,"Predominantemente Indica, com cerca de 80% Indica e 20% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Chocolate Mint OG tem um sabor complexo de chocolate e menta, com notas de pinho, especiarias e um leve toque de frutas.","Esta variedade proporciona um efeito profundamente relaxante e sedativo, ideal para aliviar o estresse, a dor e a insônia. Chocolate Mint OG é conhecida por induzir uma sensação de calma e bem-estar corporal, tornando-se uma escolha popular para uso noturno. É ideal para consumidores que buscam uma experiência potente e tranquilizante, com um perfil de sabor rico e decadente."
Cristal Candy - Automática,https://www.dentistaseeds.com/produtos/cristal-candy-automatica/,Cristal Candy x Auto,Cristal Candy é conhecida por seu sabor doce e seu perfil potente. A combinação das linhagens Candy Kush e Crystal resulta em uma planta com características marcantes e uma experiência sensorial notável.,Geralmente varia entre 18% e 24%,,,"Híbrida, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Cristal Candy tem um sabor doce e frutado, com notas predominantes de açúcar, frutas cítricas e um toque de especiarias.","Esta variedade proporciona um efeito relaxante e eufórico, oferecendo uma sensação de bem-estar e calma. Cristal Candy é frequentemente usada para aliviar estresse, ansiedade e dor leve, sendo adequada para uso tanto diurno quanto noturno. É ideal para consumidores que buscam uma experiência saborosa e bem equilibrada, com um perfil de sabor doce e reconfortante."
Critical +2 - Automática,https://www.dentistaseeds.com/produtos/critical-2-automatica/,Critical x Critical Mass,"Critical +2 é uma versão melhorada da Critical, combinando as características produtivas e robustas da Critical com a potência adicional da Critical Mass, resultando em uma planta com uma alta produtividade e um perfil de sabor acentuado.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 30% Sativa e 70% Indica","Em média, leva cerca de 7 a 8 semanas para florescer completamente","Tem um sabor doce e terroso, com notas predominantes de frutas maduras e um leve toque de especiarias.","Oferece um efeito relaxante e eufórico, proporcionando uma sensação de bem-estar e tranquilidade. Critical +2 é frequentemente usada para aliviar estresse, dor e insônia, sendo adequada para uso noturno. É ideal para consumidores que buscam uma experiência produtiva e saborosa com efeitos relaxantes."
Critical Orange Punch - Fotoperíodo,https://www.dentistaseeds.com/produtos/critical-orange-punch-fotoperiodo/,Critical x Orange Punch,"Critical Orange Punch combina a robustez da Critical com o perfil frutado da Orange Punch, resultando em uma planta com um sabor vibrante e efeitos equilibrados.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e cítrico, com notas predominantes de laranja, frutas maduras e um leve toque de especiarias.","Oferece um efeito relaxante e eufórico, proporcionando uma sensação de alívio de estresse e bem-estar. Critical Orange Punch é frequentemente usada para aliviar dores e insônia, sendo adequada para uso noturno. É ideal para consumidores que buscam uma experiência saborosa e relaxante com um perfil de efeito equilibrado."
Critical Skunk - Automática,https://www.dentistaseeds.com/produtos/critical-skunk-automatica/,Critical x Skunk x Afghan,"Critical Skunk combina a alta produtividade e robustez da Critical com o perfil pungente e terroso da Skunk, resultando em uma planta com um perfil de sabor intenso e efeitos eficazes.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 40% Sativa e 60% Indica","Em média, leva cerca de 7 a 8 semanas para florescer completamente","Tem um sabor forte e terroso, com notas predominantes de especiarias, pino e um leve toque de frutas maduras.","Oferece um efeito relaxante e eufórico, proporcionando uma sensação de tranquilidade e bem-estar. Critical Skunk é frequentemente usada para aliviar estresse, dor e insônia, sendo adequada para uso noturno. É ideal para consumidores que buscam uma experiência produtiva e saborosa com efeitos calmantes."
